,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
4627,4627,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],642.09,-35.79,-4.03,-33.09,2.42,-11.07,35.79,1.18,17.0,2.0,15.0,11.76,-2.51,1.44,-3.04,1000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2439,2439,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],642.01,-35.8,-4.03,-33.1,4.55,-2.96,55.17,124.55,2070.0,714.0,1356.0,34.49,-0.02,0.38,-0.22,1000,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2663,2663,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.96,-35.8,-4.03,-33.11,3.51,-6.73,47.97,22.64,324.0,163.0,161.0,50.31,-0.13,0.64,-0.9,1000,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3737,3737,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.96,-35.8,-4.03,-33.11,2.56,-2.42,52.68,130.89,1998.0,774.0,1224.0,38.74,-0.02,0.32,-0.23,1000,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2675,2675,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.96,-35.8,-4.03,-33.11,3.51,-6.73,47.97,22.64,324.0,163.0,161.0,50.31,-0.13,0.64,-0.9,1000,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2707,2707,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.91,-35.81,-4.03,-33.11,7.33,-4.62,48.59,21.13,335.0,125.0,210.0,37.31,-0.12,0.82,-0.68,1000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
750,750,750.0,750.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.69,-35.83,-4.03,-33.14,3.47,-2.9,49.71,85.89,1360.0,426.0,934.0,31.32,-0.03,0.49,-0.26,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
2289,2289,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.67,-35.83,-4.03,-33.14,5.98,-1.41,53.32,123.73,2114.0,740.0,1374.0,35.0,-0.02,0.38,-0.23,1000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
4372,4372,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.46,-35.85,-4.03,-33.16,5.15,-9.16,37.16,2.37,37.0,14.0,23.0,37.84,-1.14,1.51,-2.76,1000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1968,1968,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.41,-35.86,-4.03,-33.17,5.86,-1.41,48.84,100.95,1641.0,471.0,1170.0,28.7,-0.02,0.47,-0.22,1000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
433,433,433.0,433.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.41,-35.86,-4.03,-33.17,3.2,-4.33,49.37,88.45,1385.0,438.0,947.0,31.62,-0.03,0.46,-0.25,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
2075,2075,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.35,-35.86,-4.03,-33.17,2.91,-1.41,51.58,135.53,2278.0,785.0,1493.0,34.46,-0.01,0.37,-0.22,1000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
315,315,315.0,315.0,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.3,-35.87,-4.03,-33.18,5.16,-2.28,49.77,89.92,1422.0,458.0,964.0,32.21,-0.03,0.44,-0.25,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
3740,3740,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],641.16,-35.88,-4.03,-33.19,3.05,-2.96,53.88,127.7,1909.0,670.0,1239.0,35.1,-0.02,0.39,-0.24,1000,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4371,4371,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],640.93,-35.9,-4.03,-33.22,5.8,-6.77,36.42,7.03,104.0,35.0,69.0,33.65,-0.41,1.16,-1.2,1000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3911,3911,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],640.91,-35.91,-4.03,-33.22,2.11,-3.11,52.4,129.1,2143.0,1280.0,863.0,59.73,-0.02,0.21,-0.35,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2559,2559,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],640.46,-35.95,-4.03,-33.26,3.76,-2.58,49.33,190.91,3267.0,2026.0,1241.0,62.01,-0.01,0.16,-0.29,1000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3933,3933,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],640.44,-35.95,-4.03,-33.27,2.11,-3.11,52.43,129.03,2142.0,1279.0,863.0,59.71,-0.02,0.21,-0.35,1000,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2291,2291,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],640.39,-35.96,-4.03,-33.27,6.14,-1.7,52.04,119.39,2116.0,755.0,1361.0,35.68,-0.02,0.37,-0.23,1000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4930,4930,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],640.25,-35.97,-4.03,-33.29,5.32,-4.72,38.46,8.39,133.0,37.0,96.0,27.82,-0.32,1.15,-0.89,1000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1999,1999,,,[2022-01-01 00:00:00] -> [2022-03-01 23:55:00],640.03,-35.99,-4.03,-33.31,6.51,-2.87,57.25,152.78,2728.0,917.0,1811.0,33.61,-0.01,0.35,-0.19,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
