,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
3336,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],639.41,-36.04,-49.86,27.57,0.0,-17.35,36.04,1.46,4.0,0.0,4.0,0.0,-10.41,0.0,-10.41,1000,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
936,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],639.0,-36.08,-49.86,27.49,8.13,-7.42,36.5,3.87,17.0,4.0,13.0,23.53,-2.5,2.68,-4.1,1000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
444,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],638.81,-36.1,-49.86,27.45,13.63,-7.06,44.74,6.05,24.0,7.0,17.0,29.17,-1.73,3.45,-3.86,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
72,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],638.72,-36.11,-49.86,27.43,13.36,-8.17,47.41,13.87,64.0,25.0,39.0,39.06,-0.62,2.23,-2.44,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3752,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],637.85,-36.2,-49.86,27.25,8.13,-7.82,36.2,5.01,20.0,3.0,17.0,15.0,-2.14,3.02,-3.05,1000,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],637.36,-36.25,-49.86,27.16,8.13,-7.34,36.25,5.32,23.0,4.0,19.0,17.39,-1.87,2.6,-2.81,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2411,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],637.14,-36.27,-49.86,27.11,19.86,-6.25,44.57,11.57,52.0,11.0,41.0,21.15,-0.77,4.48,-2.18,1000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],636.79,-36.31,-49.86,27.04,8.13,-7.34,36.31,5.39,24.0,4.0,20.0,16.67,-1.8,2.45,-2.65,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3794,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],636.58,-36.33,-49.86,27.0,17.6,-10.58,49.65,8.76,44.0,15.0,29.0,34.09,-0.9,3.03,-2.94,1000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3764,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],635.77,-36.41,-49.86,26.84,5.99,-7.8,36.41,5.06,20.0,3.0,17.0,15.0,-2.17,2.92,-3.07,1000,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3856,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],635.63,-36.42,-49.86,26.81,7.18,-7.67,36.42,6.39,26.0,9.0,17.0,34.62,-1.63,2.61,-3.88,1000,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4337,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],634.72,-36.51,-49.86,26.63,0.0,-16.15,36.51,1.84,5.0,0.0,5.0,0.0,-8.47,0.0,-8.47,1000,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
