,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
663,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],624.69,-37.52,-49.4,23.48,0.48,-20.02,37.52,1.66,5.0,1.0,4.0,20.0,-8.64,0.48,-10.91,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
935,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],624.23,-37.56,-49.4,23.39,9.77,-5.38,41.65,27.65,118.0,31.0,87.0,26.27,-0.35,2.65,-1.41,1000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
433,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],624.18,-37.57,-49.4,23.38,29.33,-6.07,50.13,17.99,82.0,18.0,64.0,21.95,-0.48,3.46,-1.59,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
822,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],623.65,-37.62,-49.4,23.28,0.0,-11.32,37.62,3.06,10.0,0.0,10.0,0.0,-4.53,0.0,-4.53,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
301,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],623.3,-37.66,-49.4,23.21,0.0,-8.83,37.66,2.97,10.0,0.0,10.0,0.0,-4.55,0.0,-4.55,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
258,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],623.19,-37.67,-49.4,23.19,0.0,-9.5,37.67,2.99,10.0,0.0,10.0,0.0,-4.55,0.0,-4.55,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
519,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],623.1,-37.68,-49.4,23.17,0.0,-8.88,37.68,2.99,10.0,0.0,10.0,0.0,-4.55,0.0,-4.55,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
259,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],623.1,-37.68,-49.4,23.17,0.0,-8.88,37.68,2.99,10.0,0.0,10.0,0.0,-4.55,0.0,-4.55,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
993,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],622.45,-37.74,-49.4,23.04,32.7,-5.36,55.35,16.32,82.0,17.0,65.0,20.73,-0.48,3.9,-1.62,1000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
84,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],621.52,-37.83,-49.4,22.86,20.29,-6.41,48.78,21.28,98.0,24.0,74.0,24.49,-0.42,3.11,-1.56,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
710,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],621.42,-37.84,-49.4,22.84,0.0,-10.81,37.84,2.58,8.0,0.0,8.0,0.0,-5.66,0.0,-5.66,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
295,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],621.24,-37.86,-49.4,22.8,0.0,-9.73,37.86,2.81,9.0,0.0,9.0,0.0,-5.06,0.0,-5.06,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
535,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],620.94,-37.89,-49.4,22.74,26.1,-5.77,47.33,22.38,101.0,23.0,78.0,22.77,-0.39,3.83,-1.63,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
